dimension_index,feature_group,candidate_slot,feature_name,source_field,encoding_rule,padding_rule,korean_description,why_used,value_meaning
12,candidate,0,role_combobox,candidate.role,1 if role == combobox else 0,0 when candidate slot is absent,후보 요소 0번의 역할이 'combobox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 combobox 역할, 0이면 다른 역할"
13,candidate,0,role_checkbox,candidate.role,1 if role == checkbox else 0,0 when candidate slot is absent,후보 요소 0번의 역할이 'checkbox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 checkbox 역할, 0이면 다른 역할"
14,candidate,0,role_radio,candidate.role,1 if role == radio else 0,0 when candidate slot is absent,후보 요소 0번의 역할이 'radio'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 radio 역할, 0이면 다른 역할"
15,candidate,0,role_menuitem,candidate.role,1 if role == menuitem else 0,0 when candidate slot is absent,후보 요소 0번의 역할이 'menuitem'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 menuitem 역할, 0이면 다른 역할"
16,candidate,0,role_tab,candidate.role,1 if role == tab else 0,0 when candidate slot is absent,후보 요소 0번의 역할이 'tab'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 tab 역할, 0이면 다른 역할"
17,candidate,0,visible,candidate.visible,boolean,0 when candidate slot is absent,후보 요소 0번의 후보 요소가 화면에 보이는지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
18,candidate,0,enabled,candidate.enabled,boolean,0 when candidate slot is absent,후보 요소 0번의 후보 요소가 활성화되어 조작 가능한지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
19,candidate,0,clickable,candidate.clickable,boolean,0 when candidate slot is absent,후보 요소 0번의 후보 요소가 클릭 가능한지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
20,candidate,0,visibility,candidate.visibility,clamp(value),0 when candidate slot is absent,후보 요소 0번의 후보 요소의 가시성 정도,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,모델 입력을 위해 0~1 범위로 변환한 수치
21,candidate,0,bbox_x,candidate.bbox[0],clamp(value / 4096),0 when candidate slot is absent,후보 요소 0번의 후보 요소 왼쪽 시작 위치,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
22,candidate,0,bbox_y,candidate.bbox[1],clamp(value / 4096),0 when candidate slot is absent,후보 요소 0번의 후보 요소 위쪽 시작 위치,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
23,candidate,0,bbox_width,candidate.bbox[2],clamp(value / 4096),0 when candidate slot is absent,후보 요소 0번의 후보 요소의 너비,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
24,candidate,0,bbox_height,candidate.bbox[3],clamp(value / 4096),0 when candidate slot is absent,후보 요소 0번의 후보 요소의 높이,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
25,candidate,0,has_text,candidate.has_text,boolean,0 when candidate slot is absent,후보 요소 0번의 후보 요소에 읽을 수 있는 텍스트가 있는지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
26,candidate,0,text_length,candidate.text_length,clamp(value / 512),0 when candidate slot is absent,후보 요소 0번의 후보 요소 텍스트의 길이,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
27,candidate,0,has_data_bug_id,candidate.has_data_bug_id,boolean,0 when candidate slot is absent,후보 요소 0번의 오류 정답 식별자인 data-bug-id 보유 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
28,candidate,0,has_data_testid,candidate.has_data_testid,boolean,0 when candidate slot is absent,후보 요소 0번의 테스트용 식별자인 data-testid 보유 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
29,candidate,1,role_button,candidate.role,1 if role == button else 0,0 when candidate slot is absent,후보 요소 1번의 역할이 'button'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 button 역할, 0이면 다른 역할"
30,candidate,1,role_link,candidate.role,1 if role == link else 0,0 when candidate slot is absent,후보 요소 1번의 역할이 'link'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 link 역할, 0이면 다른 역할"
31,candidate,1,role_textbox,candidate.role,1 if role == textbox else 0,0 when candidate slot is absent,후보 요소 1번의 역할이 'textbox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 textbox 역할, 0이면 다른 역할"
32,candidate,1,role_combobox,candidate.role,1 if role == combobox else 0,0 when candidate slot is absent,후보 요소 1번의 역할이 'combobox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 combobox 역할, 0이면 다른 역할"
33,candidate,1,role_checkbox,candidate.role,1 if role == checkbox else 0,0 when candidate slot is absent,후보 요소 1번의 역할이 'checkbox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 checkbox 역할, 0이면 다른 역할"
34,candidate,1,role_radio,candidate.role,1 if role == radio else 0,0 when candidate slot is absent,후보 요소 1번의 역할이 'radio'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 radio 역할, 0이면 다른 역할"
35,candidate,1,role_menuitem,candidate.role,1 if role == menuitem else 0,0 when candidate slot is absent,후보 요소 1번의 역할이 'menuitem'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 menuitem 역할, 0이면 다른 역할"
36,candidate,1,role_tab,candidate.role,1 if role == tab else 0,0 when candidate slot is absent,후보 요소 1번의 역할이 'tab'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 tab 역할, 0이면 다른 역할"
37,candidate,1,visible,candidate.visible,boolean,0 when candidate slot is absent,후보 요소 1번의 후보 요소가 화면에 보이는지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
38,candidate,1,enabled,candidate.enabled,boolean,0 when candidate slot is absent,후보 요소 1번의 후보 요소가 활성화되어 조작 가능한지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
39,candidate,1,clickable,candidate.clickable,boolean,0 when candidate slot is absent,후보 요소 1번의 후보 요소가 클릭 가능한지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
40,candidate,1,visibility,candidate.visibility,clamp(value),0 when candidate slot is absent,후보 요소 1번의 후보 요소의 가시성 정도,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,모델 입력을 위해 0~1 범위로 변환한 수치
41,candidate,1,bbox_x,candidate.bbox[0],clamp(value / 4096),0 when candidate slot is absent,후보 요소 1번의 후보 요소 왼쪽 시작 위치,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
42,candidate,1,bbox_y,candidate.bbox[1],clamp(value / 4096),0 when candidate slot is absent,후보 요소 1번의 후보 요소 위쪽 시작 위치,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
43,candidate,1,bbox_width,candidate.bbox[2],clamp(value / 4096),0 when candidate slot is absent,후보 요소 1번의 후보 요소의 너비,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
44,candidate,1,bbox_height,candidate.bbox[3],clamp(value / 4096),0 when candidate slot is absent,후보 요소 1번의 후보 요소의 높이,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
45,candidate,1,has_text,candidate.has_text,boolean,0 when candidate slot is absent,후보 요소 1번의 후보 요소에 읽을 수 있는 텍스트가 있는지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
46,candidate,1,text_length,candidate.text_length,clamp(value / 512),0 when candidate slot is absent,후보 요소 1번의 후보 요소 텍스트의 길이,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
47,candidate,1,has_data_bug_id,candidate.has_data_bug_id,boolean,0 when candidate slot is absent,후보 요소 1번의 오류 정답 식별자인 data-bug-id 보유 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
48,candidate,1,has_data_testid,candidate.has_data_testid,boolean,0 when candidate slot is absent,후보 요소 1번의 테스트용 식별자인 data-testid 보유 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
49,candidate,2,role_button,candidate.role,1 if role == button else 0,0 when candidate slot is absent,후보 요소 2번의 역할이 'button'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 button 역할, 0이면 다른 역할"
50,candidate,2,role_link,candidate.role,1 if role == link else 0,0 when candidate slot is absent,후보 요소 2번의 역할이 'link'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 link 역할, 0이면 다른 역할"
51,candidate,2,role_textbox,candidate.role,1 if role == textbox else 0,0 when candidate slot is absent,후보 요소 2번의 역할이 'textbox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 textbox 역할, 0이면 다른 역할"
52,candidate,2,role_combobox,candidate.role,1 if role == combobox else 0,0 when candidate slot is absent,후보 요소 2번의 역할이 'combobox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 combobox 역할, 0이면 다른 역할"
53,candidate,2,role_checkbox,candidate.role,1 if role == checkbox else 0,0 when candidate slot is absent,후보 요소 2번의 역할이 'checkbox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 checkbox 역할, 0이면 다른 역할"
54,candidate,2,role_radio,candidate.role,1 if role == radio else 0,0 when candidate slot is absent,후보 요소 2번의 역할이 'radio'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 radio 역할, 0이면 다른 역할"
55,candidate,2,role_menuitem,candidate.role,1 if role == menuitem else 0,0 when candidate slot is absent,후보 요소 2번의 역할이 'menuitem'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 menuitem 역할, 0이면 다른 역할"
56,candidate,2,role_tab,candidate.role,1 if role == tab else 0,0 when candidate slot is absent,후보 요소 2번의 역할이 'tab'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 tab 역할, 0이면 다른 역할"
57,candidate,2,visible,candidate.visible,boolean,0 when candidate slot is absent,후보 요소 2번의 후보 요소가 화면에 보이는지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
58,candidate,2,enabled,candidate.enabled,boolean,0 when candidate slot is absent,후보 요소 2번의 후보 요소가 활성화되어 조작 가능한지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
59,candidate,2,clickable,candidate.clickable,boolean,0 when candidate slot is absent,후보 요소 2번의 후보 요소가 클릭 가능한지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
60,candidate,2,visibility,candidate.visibility,clamp(value),0 when candidate slot is absent,후보 요소 2번의 후보 요소의 가시성 정도,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,모델 입력을 위해 0~1 범위로 변환한 수치
61,candidate,2,bbox_x,candidate.bbox[0],clamp(value / 4096),0 when candidate slot is absent,후보 요소 2번의 후보 요소 왼쪽 시작 위치,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
62,candidate,2,bbox_y,candidate.bbox[1],clamp(value / 4096),0 when candidate slot is absent,후보 요소 2번의 후보 요소 위쪽 시작 위치,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
63,candidate,2,bbox_width,candidate.bbox[2],clamp(value / 4096),0 when candidate slot is absent,후보 요소 2번의 후보 요소의 너비,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
64,candidate,2,bbox_height,candidate.bbox[3],clamp(value / 4096),0 when candidate slot is absent,후보 요소 2번의 후보 요소의 높이,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
65,candidate,2,has_text,candidate.has_text,boolean,0 when candidate slot is absent,후보 요소 2번의 후보 요소에 읽을 수 있는 텍스트가 있는지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
66,candidate,2,text_length,candidate.text_length,clamp(value / 512),0 when candidate slot is absent,후보 요소 2번의 후보 요소 텍스트의 길이,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
67,candidate,2,has_data_bug_id,candidate.has_data_bug_id,boolean,0 when candidate slot is absent,후보 요소 2번의 오류 정답 식별자인 data-bug-id 보유 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
68,candidate,2,has_data_testid,candidate.has_data_testid,boolean,0 when candidate slot is absent,후보 요소 2번의 테스트용 식별자인 data-testid 보유 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
69,candidate,3,role_button,candidate.role,1 if role == button else 0,0 when candidate slot is absent,후보 요소 3번의 역할이 'button'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 button 역할, 0이면 다른 역할"
70,candidate,3,role_link,candidate.role,1 if role == link else 0,0 when candidate slot is absent,후보 요소 3번의 역할이 'link'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 link 역할, 0이면 다른 역할"
71,candidate,3,role_textbox,candidate.role,1 if role == textbox else 0,0 when candidate slot is absent,후보 요소 3번의 역할이 'textbox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 textbox 역할, 0이면 다른 역할"
72,candidate,3,role_combobox,candidate.role,1 if role == combobox else 0,0 when candidate slot is absent,후보 요소 3번의 역할이 'combobox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 combobox 역할, 0이면 다른 역할"
73,candidate,3,role_checkbox,candidate.role,1 if role == checkbox else 0,0 when candidate slot is absent,후보 요소 3번의 역할이 'checkbox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 checkbox 역할, 0이면 다른 역할"
74,candidate,3,role_radio,candidate.role,1 if role == radio else 0,0 when candidate slot is absent,후보 요소 3번의 역할이 'radio'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 radio 역할, 0이면 다른 역할"
75,candidate,3,role_menuitem,candidate.role,1 if role == menuitem else 0,0 when candidate slot is absent,후보 요소 3번의 역할이 'menuitem'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 menuitem 역할, 0이면 다른 역할"
76,candidate,3,role_tab,candidate.role,1 if role == tab else 0,0 when candidate slot is absent,후보 요소 3번의 역할이 'tab'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 tab 역할, 0이면 다른 역할"
77,candidate,3,visible,candidate.visible,boolean,0 when candidate slot is absent,후보 요소 3번의 후보 요소가 화면에 보이는지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
78,candidate,3,enabled,candidate.enabled,boolean,0 when candidate slot is absent,후보 요소 3번의 후보 요소가 활성화되어 조작 가능한지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
79,candidate,3,clickable,candidate.clickable,boolean,0 when candidate slot is absent,후보 요소 3번의 후보 요소가 클릭 가능한지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
80,candidate,3,visibility,candidate.visibility,clamp(value),0 when candidate slot is absent,후보 요소 3번의 후보 요소의 가시성 정도,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,모델 입력을 위해 0~1 범위로 변환한 수치
81,candidate,3,bbox_x,candidate.bbox[0],clamp(value / 4096),0 when candidate slot is absent,후보 요소 3번의 후보 요소 왼쪽 시작 위치,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
82,candidate,3,bbox_y,candidate.bbox[1],clamp(value / 4096),0 when candidate slot is absent,후보 요소 3번의 후보 요소 위쪽 시작 위치,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
83,candidate,3,bbox_width,candidate.bbox[2],clamp(value / 4096),0 when candidate slot is absent,후보 요소 3번의 후보 요소의 너비,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
84,candidate,3,bbox_height,candidate.bbox[3],clamp(value / 4096),0 when candidate slot is absent,후보 요소 3번의 후보 요소의 높이,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
85,candidate,3,has_text,candidate.has_text,boolean,0 when candidate slot is absent,후보 요소 3번의 후보 요소에 읽을 수 있는 텍스트가 있는지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
86,candidate,3,text_length,candidate.text_length,clamp(value / 512),0 when candidate slot is absent,후보 요소 3번의 후보 요소 텍스트의 길이,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
87,candidate,3,has_data_bug_id,candidate.has_data_bug_id,boolean,0 when candidate slot is absent,후보 요소 3번의 오류 정답 식별자인 data-bug-id 보유 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
88,candidate,3,has_data_testid,candidate.has_data_testid,boolean,0 when candidate slot is absent,후보 요소 3번의 테스트용 식별자인 data-testid 보유 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
89,candidate,4,role_button,candidate.role,1 if role == button else 0,0 when candidate slot is absent,후보 요소 4번의 역할이 'button'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 button 역할, 0이면 다른 역할"
90,candidate,4,role_link,candidate.role,1 if role == link else 0,0 when candidate slot is absent,후보 요소 4번의 역할이 'link'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 link 역할, 0이면 다른 역할"
91,candidate,4,role_textbox,candidate.role,1 if role == textbox else 0,0 when candidate slot is absent,후보 요소 4번의 역할이 'textbox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 textbox 역할, 0이면 다른 역할"
92,candidate,4,role_combobox,candidate.role,1 if role == combobox else 0,0 when candidate slot is absent,후보 요소 4번의 역할이 'combobox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 combobox 역할, 0이면 다른 역할"
93,candidate,4,role_checkbox,candidate.role,1 if role == checkbox else 0,0 when candidate slot is absent,후보 요소 4번의 역할이 'checkbox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 checkbox 역할, 0이면 다른 역할"
94,candidate,4,role_radio,candidate.role,1 if role == radio else 0,0 when candidate slot is absent,후보 요소 4번의 역할이 'radio'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 radio 역할, 0이면 다른 역할"
95,candidate,4,role_menuitem,candidate.role,1 if role == menuitem else 0,0 when candidate slot is absent,후보 요소 4번의 역할이 'menuitem'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 menuitem 역할, 0이면 다른 역할"
96,candidate,4,role_tab,candidate.role,1 if role == tab else 0,0 when candidate slot is absent,후보 요소 4번의 역할이 'tab'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 tab 역할, 0이면 다른 역할"
97,candidate,4,visible,candidate.visible,boolean,0 when candidate slot is absent,후보 요소 4번의 후보 요소가 화면에 보이는지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
98,candidate,4,enabled,candidate.enabled,boolean,0 when candidate slot is absent,후보 요소 4번의 후보 요소가 활성화되어 조작 가능한지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
99,candidate,4,clickable,candidate.clickable,boolean,0 when candidate slot is absent,후보 요소 4번의 후보 요소가 클릭 가능한지 여부,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
