site_id,known_bug_id,known_bug_type,known_severity,selector,action_hints,detected,detection_count,detected_types,max_confidence,mapping_result,mapping_evidence,detection_id
site007,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""정형외과 정형외과  "", ""clicked_name"": ""정형외과"", ""clicked_bid"": ""63"", ""clicked_role"": ""statictext"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9226/"", ""after_url"": ""http://localhost:9226/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""63"", ""data_bug_id"": """", ""name"": ""정형외과"", ""text"": ""정형외과"", ""role"": ""statictext"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site007-detection-0001
site008,,,,,,True,1,api-forbidden,0.8,FP_REVIEW,"{""before_url"": ""http://localhost:9227/"", ""after_url"": ""http://localhost:9227/"", ""page_text_contains_forbidden"": true, ""target"": {""bid"": ""63"", ""data_bug_id"": """", ""name"": ""20:00"", ""text"": ""20:00"", ""role"": ""button"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site008-detection-0001
site008,,,,,,True,1,api-forbidden,0.8,FP_REVIEW,"{""before_url"": ""http://localhost:9227/"", ""after_url"": ""http://localhost:9227/"", ""page_text_contains_forbidden"": true, ""target"": {""bid"": ""8"", ""data_bug_id"": ""site008-bug02"", ""name"": ""site008-bug02"", ""text"": ""site008-bug02"", ""role"": ""button"", ""tag"": ""button"", ""clickable"": true, ""visible"": false, ""visibility"": 0.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": ""[data-bug-id=\""site008-bug02\""]"", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site008-detection-0002
site008,,,,,,True,1,api-forbidden,0.8,FP_REVIEW,"{""before_url"": ""http://localhost:9227/"", ""after_url"": ""http://localhost:9227/"", ""page_text_contains_forbidden"": true, ""target"": {""bid"": ""16"", ""data_bug_id"": """", ""name"": """", ""text"": """", ""role"": ""button"", ""tag"": """", ""clickable"": false, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site008-detection-0003
site008,,,,,,True,1,api-forbidden,0.8,FP_REVIEW,"{""before_url"": ""http://localhost:9227/"", ""after_url"": ""http://localhost:9227/"", ""page_text_contains_forbidden"": true, ""target"": {""bid"": ""50"", ""data_bug_id"": """", ""name"": ""element-50"", ""text"": ""element-50"", ""role"": ""generic"", ""tag"": """", ""clickable"": false, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": false, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site008-detection-0004
site008,,,,,,True,1,api-forbidden,0.8,FP_REVIEW,"{""before_url"": ""http://localhost:9227/"", ""after_url"": ""http://localhost:9227/"", ""page_text_contains_forbidden"": true, ""target"": {""bid"": ""36"", ""data_bug_id"": """", ""name"": ""element-36"", ""text"": ""element-36"", ""role"": ""generic"", ""tag"": """", ""clickable"": false, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": false, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site008-detection-0005
site008,,,,,,True,1,api-forbidden,0.8,FP_REVIEW,"{""before_url"": ""http://localhost:9227/"", ""after_url"": ""http://localhost:9227/"", ""page_text_contains_forbidden"": true, ""target"": {""bid"": ""42"", ""data_bug_id"": """", ""name"": ""element-42"", ""text"": ""element-42"", ""role"": ""generic"", ""tag"": """", ""clickable"": false, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": false, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site008-detection-0006
site008,,,,,,True,1,api-forbidden,0.8,FP_REVIEW,"{""before_url"": ""http://localhost:9227/"", ""after_url"": ""http://localhost:9227/"", ""page_text_contains_forbidden"": true, ""target"": {""bid"": ""62"", ""data_bug_id"": """", ""name"": ""16:45"", ""text"": ""16:45"", ""role"": ""button"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site008-detection-0007
site008,,,,,,True,1,layout-overlap,0.9,FP_REVIEW,"{""layout_overlap_count"": 39, ""viewport_width"": 375, ""viewport_height"": 812, ""viewport_type"": ""mobile"", ""mobile_viewport"": true, ""action_type"": ""change_viewport_mobile""}",site008-detection-0008
site009,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""   "", ""clicked_name"": """", ""clicked_bid"": ""18"", ""clicked_role"": ""button"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9228/"", ""after_url"": ""http://localhost:9228/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""18"", ""data_bug_id"": """", ""name"": """", ""text"": """", ""role"": ""button"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site009-detection-0001
site009,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""ALL ALL  "", ""clicked_name"": ""ALL"", ""clicked_bid"": ""24"", ""clicked_role"": ""button"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9228/"", ""after_url"": ""http://localhost:9228/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""24"", ""data_bug_id"": """", ""name"": ""ALL"", ""text"": ""ALL"", ""role"": ""button"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site009-detection-0002
site010,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""   "", ""clicked_name"": """", ""clicked_bid"": ""162"", ""clicked_role"": ""button"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9229/"", ""after_url"": ""http://localhost:9229/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""162"", ""data_bug_id"": """", ""name"": """", ""text"": """", ""role"": ""button"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site010-detection-0001
site011,,,,,,True,1,layout-overlap,0.9,FP_REVIEW,"{""layout_overlap_count"": 3, ""viewport_width"": 375, ""viewport_height"": 812, ""viewport_type"": ""mobile"", ""mobile_viewport"": true, ""action_type"": ""change_viewport_mobile""}",site011-detection-0001
site011,,,,,,True,1,broken-navigation,0.85,FP_REVIEW,"{""url"": ""http://localhost:9230/"", ""title"": ""error""}",site011-detection-0002
site012,,,,,,True,1,layout-overlap,0.9,FP_REVIEW,"{""layout_overlap_count"": 3, ""viewport_width"": 375, ""viewport_height"": 812, ""viewport_type"": ""mobile"", ""mobile_viewport"": true, ""action_type"": ""change_viewport_mobile""}",site012-detection-0001
site012,,,,,,True,1,broken-navigation,0.85,FP_REVIEW,"{""url"": ""http://localhost:9231/"", ""title"": ""error""}",site012-detection-0002
site013,,,,,,True,1,layout-overlap,0.9,FP_REVIEW,"{""layout_overlap_count"": 3, ""viewport_width"": 375, ""viewport_height"": 812, ""viewport_type"": ""mobile"", ""mobile_viewport"": true, ""action_type"": ""change_viewport_mobile""}",site013-detection-0001
site013,,,,,,True,1,broken-navigation,0.85,FP_REVIEW,"{""url"": ""http://localhost:9232/"", ""title"": ""error""}",site013-detection-0002
site014,,,,,,True,1,layout-overlap,0.9,FP_REVIEW,"{""layout_overlap_count"": 3, ""viewport_width"": 375, ""viewport_height"": 812, ""viewport_type"": ""mobile"", ""mobile_viewport"": true, ""action_type"": ""change_viewport_mobile""}",site014-detection-0001
site014,,,,,,True,1,broken-navigation,0.85,FP_REVIEW,"{""url"": ""http://localhost:9233/"", ""title"": ""error""}",site014-detection-0002
site015,,,,,,True,1,layout-overlap,0.9,FP_REVIEW,"{""layout_overlap_count"": 3, ""viewport_width"": 375, ""viewport_height"": 812, ""viewport_type"": ""mobile"", ""mobile_viewport"": true, ""action_type"": ""change_viewport_mobile""}",site015-detection-0001
site015,,,,,,True,1,broken-navigation,0.85,FP_REVIEW,"{""url"": ""http://localhost:9234/"", ""title"": ""error""}",site015-detection-0002
site016,,,,,,True,1,layout-overlap,0.9,FP_REVIEW,"{""layout_overlap_count"": 3, ""viewport_width"": 375, ""viewport_height"": 812, ""viewport_type"": ""mobile"", ""mobile_viewport"": true, ""action_type"": ""change_viewport_mobile""}",site016-detection-0001
site016,,,,,,True,1,broken-navigation,0.85,FP_REVIEW,"{""url"": ""http://localhost:9235/"", ""title"": ""error""}",site016-detection-0002
site017,site017-auto-01,duplicated-rendering,,,click_element;inspect_layout,False,0,,,FN,,
site017,,,,,,True,1,form-no-feedback,0.65,FP_REVIEW,"{""clicked_text"": ""검색하기 검색하기  "", ""clicked_name"": ""검색하기"", ""clicked_bid"": ""31"", ""clicked_role"": ""button"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9236/"", ""after_url"": ""http://localhost:9236/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""31"", ""data_bug_id"": """", ""name"": ""검색하기"", ""text"": ""검색하기"", ""role"": ""button"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site017-detection-0001
site017,,,,,,True,1,duplicated-rendering,0.85,FP_REVIEW,"{""duplicated_titles"": {""검색하기 검색하기"": 2, ""의사 찾기 의사 찾기"": 2, ""내 예약 내 예약"": 2, ""예약하기 예약하기"": 3, ""당신에게 맞는 최고의 전문의를 찾아보세요 당신에게 맞는 최고의 전문의를 찾아보세요"": 2, ""전문의 리스트 전문의 리스트"": 2}, ""visible_duplicate_candidates"": {""의사 찾기 의사 찾기"": 1}, ""book_context"": false, ""axtree_or_text_only"": false}",site017-detection-0002
site017,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""element-98 element-98  "", ""clicked_name"": ""element-98"", ""clicked_bid"": ""98"", ""clicked_role"": ""generic"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9236/#"", ""after_url"": ""http://localhost:9236/#"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""98"", ""data_bug_id"": """", ""name"": ""element-98"", ""text"": ""element-98"", ""role"": ""generic"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site017-detection-0003
site018,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""프로필 프로필  "", ""clicked_name"": ""프로필"", ""clicked_bid"": ""27"", ""clicked_role"": ""button"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9237/"", ""after_url"": ""http://localhost:9237/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""27"", ""data_bug_id"": """", ""name"": ""프로필"", ""text"": ""프로필"", ""role"": ""button"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site018-detection-0001
site019,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""   "", ""clicked_name"": """", ""clicked_bid"": ""86"", ""clicked_role"": ""button"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9238/"", ""after_url"": ""http://localhost:9238/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""86"", ""data_bug_id"": """", ""name"": """", ""text"": """", ""role"": ""button"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site019-detection-0001
site020,site020-auto-01,duplicated-rendering,,,click_element;fill_input;inspect_layout;press_enter,False,0,,,FN,,
site020,,,,,,True,1,form-no-feedback,0.65,FP_REVIEW,"{""clicked_text"": ""검색 검색  "", ""clicked_name"": ""검색"", ""clicked_bid"": ""45"", ""clicked_role"": ""button"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9239/"", ""after_url"": ""http://localhost:9239/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""45"", ""data_bug_id"": """", ""name"": ""검색"", ""text"": ""검색"", ""role"": ""button"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site020-detection-0001
site020,,,,,,True,1,duplicated-rendering,0.9,FP_REVIEW,"{""duplicated_titles"": {""site020-bug01 site020-bug01"": 3, ""show date picker show date picker"": 2, ""당신의 완벽한 휴식을 위하여 당신의 완벽한 휴식을 위하여"": 2}, ""visible_duplicate_candidates"": {""show date picker show date picker"": 1}, ""book_context"": true, ""axtree_or_text_only"": false}",site020-detection-0002
site020,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""특가 상품 특가 상품  "", ""clicked_name"": ""특가 상품"", ""clicked_bid"": ""20"", ""clicked_role"": ""button"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9239/"", ""after_url"": ""http://localhost:9239/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""20"", ""data_bug_id"": """", ""name"": ""특가 상품"", ""text"": ""특가 상품"", ""role"": ""button"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site020-detection-0003
site020,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""   "", ""clicked_name"": """", ""clicked_bid"": ""41"", ""clicked_role"": ""date"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9239/"", ""after_url"": ""http://localhost:9239/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""41"", ""data_bug_id"": """", ""name"": """", ""text"": """", ""role"": ""date"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site020-detection-0004
site021,site021-auto-01,api-forbidden,,,click_element;fill_input;finish_episode;inspect_layout;press_enter,False,0,,,FN,,
